Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search,Date,Time
5600 S Stony Island,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,"Stop Sign Violation, Failed to Yield to Pedestrians in Crosswalk",,Verbal Warning,No,6/3/2015,9:26 AM
5900 S Ellis,BLACK / AFRICAN AMERICAN,FEMALE,Follow Too Close,"Following too closely to vehicle stopped for pedestrians, disobeyed stop sign",,Verbal Warning,No,6/4/2015,5:44 PM
6121 S Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Subject was driving erratically and cut off another vehicle without signaling,,Verbal Warning,No,6/27/2015,11:36 AM
5500 S Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Failed to yield to CFD firetruck,,Verbal Warning,No,7/11/2015,10:04 PM
5600 S Drexel,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,7/11/2015,10:47 PM
5400 S Lake Park,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,7/16/2015,12:10PM
5700 S ELLIS,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,7/24/2015,12:42 PM
5201 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Was observed by R/O leaving the scene of a traffic accident,,Verbal Warning,No,7/26/2015,11:21 AM
5600 S Lake Park,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/29/2015,4:02 PM
5600 S Woodlawn,ASIAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,8/20/2015,1:03 AM
1331 E 55th,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Almost hit pedestrian in crosswalk,,Verbal Warning,No,8/29/2015,12:38 PM
5900 S Dorchester,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Failure To Stop At Stop Sign,,Verbal Warning,NO,9/10/2015,9:48 AM
E/B Midway Plaisance & Cornell,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Speeding in School /Construction zone,,Verbal Warning,NO,9/10/2015,10:31 AM
6000 Dorchester,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way road,,Verbal Warning,Yes,9/12/2015,9:30 PM
1362 E 58th,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,9/15/2015,7:47 PM
5300 Dorchester,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,9/17/2015,8:06 PM
5500 S Ellis,HISPANIC,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,9/21/2015,2:09 PM
5945 S Ellis,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,,Verbal Warning,No,9/22/2015,10:13 AM
1000 E Midway Plaisance,BLACK / AFRICAN AMERICAN,FEMALE,Speed,Speeding,,Verbal Warning,No,9/22/2015,3:21 PM
800 E Midway Plaisance,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,,Verbal Warning,No,9/22/2015,3:37 PM
5900 Payne Dr,BLACK / AFRICAN AMERICAN,FEMALE,Speed,Speeding,,Verbal Warning,No,9/23/2015,10:04 AM
5900 Payne Dr,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,,Verbal Warning,No,9/24/2015,9:00 AM
Midway and Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Speed,Speeding,,Verbal Warning,No,9/28/2015,8:43 AM
5900 Payne Dr,WHITE AMERICAN / CAUCASIAN,MALE,Speed,Speeding,,Verbal Warning,No,9/28/2015,9:05 AM
5400 S Cottage Grove,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,9/29/2015,8:53 AM
5700 Hyde Park,ASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,10/1/2015,9:42 PM
930 E 55th,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Improper passing/overtaking,1 citation issued,Citation Issued,No,10/2/2015,5:13 PM
5900 S Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,10/6/2015,4:41 PM
5500 Blackstone,HISPANIC,MALE,Traffic Sign/Signal,Ran two stop signs,,Verbal Warning,No,10/6/2015,11:16 PM
5734 S Ellis,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Improper passing/overtaking,2 citations issued for failure to yield to pedestrians and improper overtaking,Citation Issued,No,10/14/2015,1:25 PM
1200 E 55th,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,10/14/2015,8:57 PM
4100 S Drexel,ASIAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,10/15/2015,10:30 PM
1314 E 53rd,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,10/16/2015,9:21 AM
5800 Blackstone,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,10/19/2015,10:57 PM
1000 Midway Plaisance,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,Citation issued for expired registration,Citation Issued,No,10/20/2015,9:39 AM
5859 S University,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,,Verbal Warning,No,10/20/2015,10:03 AM
5830 S Woodlawn Ave,BLACK / AFRICAN AMERICAN,FEMALE,Speed,Speeding,,Verbal Warning,No,10/23/2015,8:48 AM
930 E Midway Plaisance,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,Citation issued for speeding,Citation Issued,No,10/23/2015,9:10 AM
930 E Midway Plaisance,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,Citation issued for speeding,Citation Issued,No,10/23/2015,9:40 AM
6000 S. Woodlawn,WHITE AMERICAN / CAUCASIAN,FEMALE,Other,Distracted Driving - Cell Phone,,Verbal Warning,No,10/29/2015,4:09 PM
5100 S BLACKSTONE,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,11/2/2015,8:14 PM
1100 E 57th,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,11/4/2015,4:13 PM
5300 S Greenwood,BLACK / AFRICAN AMERICAN,MALE,Other,Improper backing,,Verbal Warning,No,11/7/2015,8:48 PM
5600 S Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No,11/8/2015,9:01 AM
5700 S Harper,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,11/10/2015,12:43 PM
Midway Plaisance & Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper lane usage,,Verbal Warning,No,11/13/2015,12:23 PM
5300 S Ingleside,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,11/15/2015,3:45 PM
6100 Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,11/19/2015,2:27 PM
5800 Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,11/21/2015,9:03 PM
